area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2021-01-31,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-01,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-02,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-03,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-04,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-05,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-06,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-07,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
"North East and Yorkshire",2021-02-08,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
"North East and Yorkshire",2021-02-09,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
"North East and Yorkshire",2021-02-10,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
"North East and Yorkshire",2021-02-11,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
"North East and Yorkshire",2021-02-12,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
"North East and Yorkshire",2021-02-13,0.88,0.89,0.89,0.90,0.91,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,inferred
