area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2021-01-25,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-01-26,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-01-27,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-01-28,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-01-29,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-01-30,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-01-31,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.88,inferred
"North East and Yorkshire",2021-02-01,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-02,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-03,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-04,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-05,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-06,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-07,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.90,0.93,0.93,inferred
"North East and Yorkshire",2021-02-08,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-09,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-10,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-11,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-12,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-13,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-14,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.93,0.95,0.95,inferred
"North East and Yorkshire",2021-02-15,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-16,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-17,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-18,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-19,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-20,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-21,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.83,0.85,0.86,inferred
"North East and Yorkshire",2021-02-22,0.70,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.80,0.82,0.82,0.83,0.86,0.91,0.92,inferred
"North East and Yorkshire",2021-02-23,0.70,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.80,0.82,0.82,0.83,0.86,0.91,0.92,inferred
"North East and Yorkshire",2021-02-24,0.70,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.80,0.82,0.82,0.83,0.86,0.91,0.92,inferred
"North East and Yorkshire",2021-02-25,0.70,0.71,0.73,0.75,0.76,0.77,0.78,0.79,0.80,0.82,0.82,0.83,0.86,0.91,0.92,inferred
